Country,Beef Consumption in KG Per Capita 2022,GDP Per Capita 2022,"Beef Imports Carcass wt. 1,000 pounds 2024",Urban Population,Business Difficulty,Rank,pH Factor
East Asia and Pacific (WB),,,,1501791955,,,
East Timor,,,,449284,,,
Ecuador,12.30,"$2,570.14",,11649655,Medium,129,
Egypt,7.01,"$3,015.41",,49364918,Medium,114,
El Salvador,9.64,"$3,040.17",,4757015,Easy,91,
Equatorial Guinea,,"$3,116.50",,1375463,Below Average,178,
Eritrea,,"$3,183.70",,1501534,Below Average,189,
Estonia,8.81,"$3,489.68",,956597,Very Easy,18,
Eswatini,15.75,"$3,494.92",,305042,Medium,121,
Ethiopia,3.33,"$3,498.51",,29801135,Below Average,160,
Europe and Central Asia (WB),,,,676516835,,,
European Union (27),,,,339749258,,,
Faeroe Islands,,,,23420,,,
Fiji,4.54,"$3,571.82",,542593,Medium,102,
Finland,17.34,"$3,600.12",,4789488,Very Easy,20,
French Polynesia,32.78,"$3,640.31",,175103,,,
Gabon,5.12,"$3,687.78",,2261879,Below Average,169,
Gambia,1.43,"$3,704.34",,1739355,Below Average,156,
Georgia,7.28,"$3,737.52",,2256301,Very Easy,7,
Germany,14.05,"$3,854.89",,64762692,Very Easy,22,
Ghana,1.46,"$3,902.59",,20015284,Medium,118,
Gibraltar,,,,38471,,,
Greece,14.80,"$4,042.71",,8394500,Easy,79,
Greenland,,"$4,104.80",,50007,,,
Grenada,8.61,"$4,163.51",,43389,Medium,147,
Guam,,,,158457,,,
Guatemala,11.68,"$4,204.56",,9623926,Easy,96,
Guinea,5.28,"$4,273.92",,5486322,Below Average,157,
Guinea-Bissau,,,,979037,Below Average,174,
Guyana,3.20,"$4,433.40",,224454,Medium,134,
Haiti,4.31,"$4,495.15",,6942406,Below Average,179,
High-income countries,,,,1136488614,,,
Hong Kong,23.07,"$4,570.63",,7536100,Very Easy,3,
Hungary,5.40,"$4,788.00",,6989250,Very Easy,52,
Iceland,16.00,"$4,911.33",,369913,Very Easy,26,
India,2.20,"$5,045.50",,522939628,Easy,63,
Indonesia,2.99,"$5,127.32",,164698646,Easy,73,
Iran,3.91,"$5,219.26",,70001569,Medium,127,
Iraq,3.64,"$5,324.13",,32272568,Below Average,172,
Isle of Man,,,,45013,,,
Israel,36.10,"$5,858.82",,9059393,Very Easy,35,
Italy,16.22,"$5,937.20",,42459374,Easy,58,
Ivory Coast,0.88,"$5,950.55",,,,,
Jamaica,5.30,"$6,047.22",,1629412,Easy,71,
Jordan,6.82,"$6,391.28",,10526364,Easy,75,
Kazakhstan,24.83,"$6,549.23",,11827851,Very Easy,25,
Kenya,4.93,"$6,571.27",,16336074,Easy,56,
Kiribati,5.27,"$6,630.28",,76552,Below Average,164,
Kuwait,11.86,"$6,655.26",,4853420,Easy,83,
Kyrgyzstan,15.47,"$6,727.80",,2683776,Easy,80,
Laos,9.20,"$6,766.48",,2931630,Below Average,155,
Latin America and Caribbean (WB),,,,537911466,,,
Latvia,5.68,"$6,908.80",,1289260,Very Easy,19,
Lebanon,14.42,"$6,984.22",,5163350,Medium,143,
Lesotho,2.04,"$7,018.11",,703034,Medium,122,
Liberia,0.54,"$7,025.69",,2942452,Below Average,175,
Libya,3.98,"$7,125.83",,5961856,Below Average,186,
Liechtenstein,,"$7,159.37",,5825,,,
Lithuania,5.05,"$7,568.80",,1972607,Very Easy,11,
Low-income countries,,,,258530358,,,
Lower-middle-income countries,,,,1261683592,,,
Luxembourg,30.73,"$7,599.97",,613635,Easy,72,
Macao,,,,678800,,,
Macau,12.60,"$7,642.81",,,,,
Madagascar,1.13,"$7,737.65",,12651822,Below Average,161,
Malawi,3.21,"$8,414.54",,3857899,Medium,109,
Malaysia,8.91,"$8,427.10",,27650017,Very Easy,12,
Maldives,13.83,"$8,802.13",,220765,Medium,148,
Mali,2.72,"$8,917.67",,10978722,Below Average,149,
Malta,17.72,"$9,107.45",,524784,Easy,88,
Marshall Islands,14.25,"$9,509.25",,30622,Below Average,154,
Mauritania,7.03,"$9,925.83",,2897898,Below Average,153,
Mauritius,6.48,"$9,934.59",,515350,Very Easy,13,
Micronesia,6.37,"$10,420.13",,,Below Average,159,
Micronesia (country),,,,26332,,,
Middle East and North Africa (WB),,,,335769360,,,
Middle-income countries,,,,3194377495,,,
Moldova,1.12,"$10,629.31",,1066014,Very Easy,48,
Monaco,,"$11,476.68",,38956,,,
Mongolia,30.20,"$11,624.72",,2405088,Easy,81,
Montenegro,14.01,"$11,679.21",,422094,Very Easy,50,
Montserrat,,"$11,780.82",,,,,
Morocco,7.00,"$11,971.92",,24558760,Very Easy,53,
Mozambique,0.71,"$12,038.42",,13034634,Medium,138,
Myanmar,2.66,"$12,498.47",,17383445,Below Average,165,
Nauru,20.86,"$13,128.02",,11875,,,
Nepal,6.36,"$13,198.82",,6504011,Easy,94,
New Caledonia,21.56,"$13,867.91",,210791,,,
Niger,2.49,"$15,481.80",,4461304,Medium,132,
Nigeria,1.52,"$16,086.69",,123701699,Medium,131,
North America (WB),,,,311866936,,,
North Korea,,"$16,460.81",,16697097,,,
North Macedonia,8.65,"$17,033.08",,1087167,Very Easy,17,
Northern Mariana Islands,,,,41566,,,
Norway,18.70,"$17,264.78",,4636183,Very Easy,9,
Oman,9.69,"$17,357.63",,4463554,Easy,68,
Pakistan,10.07,"$17,753.27",,94150710,Medium,108,
Palau,,"$17,791.91",,14608,Medium,146,
Palestine,,"$18,199.47",,4007712,Medium,117,
Panama,15.44,"$18,622.87",,3099373,Easy,86,
Papua New Guinea,0.92,"$18,880.03",,1425770,Medium,120,
Peru,4.20,"$19,629.38",,26711638,Easy,76,
Philippines,3.79,"$20,238.78",,55477513,Easy,95,
Poland,0.25,"$20,431.62",,22092390,Very Easy,40,
Portugal,22.44,"$20,547.21",,7183215,Very Easy,39,
Puerto Rico,,"$20,793.28",,3001617,Easy,65,
Qatar,18.46,"$20,923.10",,2638874,Easy,77,
Republic of the Congo,3.44,"$22,087.59",,,,,
Romania,4.56,"$24,812.90",,10420198,Easy,55,
Russia,12.51,"$24,917.60",,108345662,Very Easy,28,
Rwanda,2.70,"$25,056.69",,2496734,Very Easy,38,
Saint Kitts and Nevis,8.09,"$25,773.33",,14540,Medium,139,
Saint Lucia,6.74,"$27,685.15",,34373,Easy,93,
Saint Vincent and the Grenadines,11.52,"$28,295.42",,55017,Medium,130,
Samoa,11.16,"$28,561.29",,37933,Medium,98,
San Marino,,"$28,693.27",,33127,Easy,92,
Sao Tome and Principe,1.99,"$29,771.14",,176388,,,
Saudi Arabia,5.89,"$30,146.51",,28258016,Easy,62,
Senegal,6.49,"$30,436.28",,8962680,Medium,123,
Serbia,9.82,"$31,458.35",,3782699,Very Easy,44,
Seychelles,18.44,"$32,305.13",,70450,Medium,100,
Sierra Leone,1.63,"$32,999.39",,3748007,Below Average,163,
Singapore,,"$33,189.58",,5917648,Very Easy,2,
Sint Maarten,,"$33,300.84",,,,,
Sint Maarten (Dutch part),,,,42749,,,
Slovakia,6.79,"$33,942.34",,2931905,Very Easy,45,
Slovenia,12.20,"$34,143.74",,1189324,Very Easy,37,
Solomon Islands,1.97,"$34,584.86",,208297,Medium,136,
Somalia,3.16,"$34,672.09",,8797448,Below Average,190,
South Africa,16.13,"$34,877.18",,43502131,Easy,84,
South Asia (WB),,,,708960250,,,
South Korea,19.54,"$35,607.49",,42123031,Very Easy,5,
South Sudan,12.07,"$37,152.47",,2433901,Below Average,185,
Spain,12.92,"$41,079.48",,39428688,Very Easy,30,
Sri Lanka,1.27,"$41,425.98",,4233528,Medium,99,
Sub-Saharan Africa (WB),,,,541608374,,,
Sudan,7.54,"$42,293.30",,18186551,Below Average,171,
Suriname,5.07,"$45,757.98",,417649,Below Average,162,
Sweden,22.00,"$46,996.75",,9349997,Very Easy,10,
Switzerland,18.68,"$47,412.07",,6595143,Very Easy,36,
Syria,2.28,"$48,049.82",,13545437,Below Average,176,
Tajikistan,24.91,"$48,901.66",,2933456,Medium,106,
Tanzania,7.66,"$49,986.83",,24920980,Medium,141,
Thailand,1.62,"$50,988.08",,38438241,Very Easy,21,
Timor-Leste,1.57,"$51,820.90",,,,,
Togo,0.92,"$52,608.76",,4139500,Easy,97,
Tonga,14.10,"$52,903.08",,24225,Medium,103,
Trinidad and Tobago,6.74,"$53,707.98",,730784,Medium,105,
Tunisia,4.29,"$55,596.84",,8606672,Easy,78,
Turkmenistan,25.15,"$57,391.64",,3977017,,,
Turks and Caicos Islands,,"$58,086.36",,43540,,,
Tuvalu,4.61,"$67,866.79",,6502,,,
Uganda,3.97,"$68,029.49",,13025859,Medium,116,
Ukraine,6.20,"$75,260.41",,26448831,Easy,64,
United Arab Emirates,13.93,"$76,100.72",,9202532,Very Easy,16,
United States,38.01,"$87,974.17",,278977409,Very Easy,6,
United States Virgin Islands,,,,100958,,,
Upper-middle-income countries,,,,1932693903,,,
Uzbekistan,30.75,"$93,636.42",,18015824,Easy,69,
Vanuatu,7.74,"$105,993.27",,83229,Medium,107,
Venezuela,13.96,"$106,622.83",,25028709,Below Average,188,
Vietnam,5.31,"$117,568.24",,39619045,Easy,70,
World,,,,4614425176,,,
Yemen,2.29,"$125,897.20",,15689749,Below Average,187,
Zambia,9.05,"$197,267.66",,9602449,Easy,85,
Zimbabwe,,"$240,535.04",,5313545,Medium,140,
Taiwan,,,,,Very Easy,15,
Kosovo,,,,,Easy,57,
Côte d'Ivoire,,,,,Medium,110,
São Tomé and Príncipe,,,,,Below Average,170,
Timor Leste,,,,,Below Average,181,
Taiwan,,,,,,,
Kosovo,,,,,,,
Côte d'Ivoire,,,,,,,
São Tomé and Príncipe,,,,,,,
Timor Leste,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
